T,Y,X3,TX3,P3,X2,TX2,P2,X1,TX1,P1,
160,80,0,0,0,0,0,0,1,160,59,
161,80,0,0,0,0,0,0,1,161,60,
162,80,0,0,0,0,0,0,1,162,61,
163,80,0,0,0,0,0,0,1,163,62,
164,80,0,0,0,0,0,0,1,164,63,
165,80,0,0,0,0,0,0,1,165,64,
166,80,0,0,0,0,0,0,1,166,65,
167,80,0,0,0,0,0,0,1,167,66,
168,78,0,0,0,0,0,0,1,168,67,
169,74,0,0,0,0,0,0,1,169,68,
170,74,0,0,0,0,0,0,1,170,69,
171,75,0,0,0,0,0,0,1,171,70,
172,80,0,0,0,0,0,0,1,172,71,
173,80,0,0,0,0,0,0,1,173,72,
174,78,0,0,0,0,0,0,1,174,73,
175,76,0,0,0,0,0,0,1,175,74,
176,76,0,0,0,0,0,0,1,176,75,
177,76,0,0,0,0,0,0,1,177,76,
178,76,0,0,0,0,0,0,1,178,77,
179,76,0,0,0,0,0,0,1,179,78,
180,76,0,0,0,0,0,0,1,180,79,
181,74,0,0,0,0,0,0,1,181,80,
182,72,0,0,0,0,0,0,1,182,81,
183,72,0,0,0,0,0,0,1,183,82,
184,72,0,0,0,0,0,0,1,184,83,
185,70,0,0,0,0,0,0,1,185,84,
186,70,0,0,0,0,0,0,1,186,85,
187,72,0,0,0,0,0,0,1,187,86,
188,76,0,0,0,0,0,0,1,188,87,
189,76,0,0,0,0,0,0,1,189,88,
190,80,0,0,0,0,0,0,1,190,89,
191,84,0,0,0,0,0,0,1,191,90,
192,84,0,0,0,0,0,0,1,192,91,
193,84,0,0,0,0,0,0,1,193,92,
194,84,0,0,0,0,0,0,1,194,93,
195,84,0,0,0,0,0,0,1,195,94,
196,84,0,0,0,0,0,0,1,196,95,
197,89,0,0,0,0,0,0,1,197,96,
198,100,0,0,0,1,198,1,1,198,97, AFS
199,107,0,0,0,1,199,2,1,199,98,
200,110,0,0,0,1,200,3,1,200,99,
201,110,0,0,0,1,201,4,1,201,100,
202,110,0,0,0,1,202,5,1,202,101,
203,104,0,0,0,1,203,6,1,203,102,
204,96,0,0,0,1,204,7,1,204,103,
205,93,0,0,0,1,205,8,1,205,104,
206,87,1,206,1,1,206,9,1,206,105,War
207,87,1,207,2,1,207,10,1,207,106,
208,91,1,208,3,1,208,11,1,208,107,
